numid,full name,old scientific,genus,species,common,id notes,checked by,,,,,,,,,,,,,,,,,,
1,Ziziphus mistol,Ziziphus mistol,Ziziphus,mistol,NA,,AK,,,,,,,,,,,,,,,,,,
1,Celtis pallida,Celtis pallida,Celtis,pallida,NA,,AK,,,,,,,,,,,,,,,,,,
2,Ziziphus mistol,Ziziphus mistol,Ziziphus,mistol,NA,,AK,,,,,,,,,,,,,,,,,,
2,Acacia aroma,Acacia aroma,Acacia,aroma,NA,,AK,,,,,,,,,,,,,,,,,,
2,Celtis tala,Celtis tala,Celtis,tala,NA,,AK,,,,,,,,,,,,,,,,,,
2,Syagrus romanzoffiana,Syagrus romanzoffiana,Syagrus,romanzoffiana,NA,,AK,,,,,,,,,,,,,,,,,,
3,Geoffroea decorticans,Geoffroea decorticans,Geoffroea,decorticans,NA,,AK,,,,,,,,,,,,,,,,,,
3,Ziziphus mistol,Ziziphus mistol,Ziziphus,mistol,NA,,AK,,,,,,,,,,,,,,,,,,
3,Prosopis nigra,Prosopis nigra,Prosopis,nigra,NA,,AK,,,,,,,,,,,,,,,,,,
3,Prosopis alba,Prosopis alba,Prosopis,alba,NA,,AK,,,,,,,,,,,,,,,,,,
3,Celtis erherbergiana,Celtis erherbergiana,Celtis,erherbergiana,NA,,AK,,,,,,,,,,,,,,,,,,
3,Condalia microphylla,Condalia microphylla,Condalia,microphylla,NA,,AK,,,,,,,,,,,,,,,,,,
4,Acacia aroma,Acacia aroma,Acacia,aroma,NA,,AK,,,,,,,,,,,,,,,,,,
4,Acacia atramentaria,Acacia atramentaria,Acacia,atramentaria,NA,,AK,,,,,,,,,,,,,,,,,,
4,Acacia caven,Acacia caven,Acacia,caven,NA,,AK,,,,,,,,,,,,,,,,,,
5,American Persimmon (Diospyros virginiana),Diospyros virginiana,Diospyros,virginiana,American Persimmon,,AK,,,,,,,,,,,,,,,,,,
5,Osage Orange (Maclura pomifera),Maclura pomifera,Maclura,pomifera,Osage Orange,,AK,,,,,,,,,,,,,,,,,,
5,Paw Pawå (Asimina triloba),Asimina triloba,Asimina,triloba,Paw Paw,,AK,,,,,,,,,,,,,,,,,,
6,Calvaria major,Calvaria major,Calvaria,major,NA,,AK,,,,,,,,,,,,,,,,,,
7,Anacardium microsepalum,Anacardium microsepalum,Anacardium,microsepalum,NA,,AK,,,,,,,,,,,,,,,,,,
7,Annona hypoglauca,Annona hypoglauca,Annona,hypoglauca,NA,,AK,,,,,,,,,,,,,,,,,,
7,Astrocaryum jauary,Astrocaryum jauary,Astrocaryum,jauary,NA,,AK,,,,,,,,,,,,,,,,,,
7,Byrsonima amazonica,Byrsonima amazonica,Byrsonima,amazonica,NA,,AK,,,,,,,,,,,,,,,,,,
