"","Genus","Species","Abbrev","Infraspecific","ID","Plant.Name.Index","TPL_version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific","Authority","New.ID","Typo","WFormat"
"1","Ziziphus","mistol",NA,"","tro-27500137",TRUE,"1.1","Accepted","Rhamnaceae","Ziziphus","","mistol","","Griseb.","tro-27500137",FALSE,FALSE
"2","Celtis","pallida",NA,"","kew-2708404",TRUE,"1.1","Accepted","Cannabaceae","Celtis","","pallida","","Torr.","kew-2708404",FALSE,FALSE
"3","Ziziphus","mistol",NA,"","tro-27500137",TRUE,"1.1","Accepted","Rhamnaceae","Ziziphus","","mistol","","Griseb.","tro-27500137",FALSE,FALSE
"4","Acacia","aroma",NA,"","ild-10221",TRUE,"1.1","Accepted","Leguminosae","Acacia","","aroma","","Hook. & Arn.","ild-10221",FALSE,FALSE
"5","Celtis","tala",NA,"","kew-2708484",TRUE,"1.1","Accepted","Cannabaceae","Celtis","","tala","","Gillies ex Planch.","kew-2708484",FALSE,FALSE
"6","Syagrus","romanzoffiana",NA,"","kew-198839",TRUE,"1.1","Accepted","Arecaceae","Syagrus","","romanzoffiana","","(Cham.) Glassman","kew-198839",FALSE,FALSE
"7","Geoffroea","decorticans",NA,"","ild-10407",TRUE,"1.1","Accepted","Leguminosae","Geoffroea","","decorticans","","(Hook. & Arn.) Burkart","ild-10407",FALSE,FALSE
"8","Ziziphus","mistol",NA,"","tro-27500137",TRUE,"1.1","Accepted","Rhamnaceae","Ziziphus","","mistol","","Griseb.","tro-27500137",FALSE,FALSE
"9","Prosopis","nigra",NA,"","ild-20362",TRUE,"1.1","Accepted","Leguminosae","Prosopis","","nigra","","Hieron.","ild-20362",FALSE,FALSE
"10","Prosopis","alba",NA,"","ild-677",TRUE,"1.1","Accepted","Leguminosae","Prosopis","","alba","","Griseb.","ild-677",FALSE,FALSE
"11","Celtis","erherbergiana",NA,"","",FALSE,"1.1","","","Celtis","","erherbergiana","","","",FALSE,FALSE
"12","Condalia","microphylla",NA,"","kew-2733996",TRUE,"1.1","Accepted","Rhamnaceae","Condalia","","microphylla","","Cav.","kew-2733996",FALSE,FALSE
"13","Acacia","aroma",NA,"","ild-10221",TRUE,"1.1","Accepted","Leguminosae","Acacia","","aroma","","Hook. & Arn.","ild-10221",FALSE,FALSE
"14","Acacia","atramentaria",NA,"","ild-10223",TRUE,"1.1","Accepted","Leguminosae","Acacia","","atramentaria","","Benth.","ild-10223",FALSE,FALSE
"15","Acacia","caven",NA,"","ild-24882",TRUE,"1.1","Accepted","Leguminosae","Acacia","","caven","","(Molina) Molina","ild-24882",FALSE,FALSE
"16","Diospyros","virginiana",NA,"","kew-2770719",TRUE,"1.1","Accepted","Ebenaceae","Diospyros","","virginiana","","L.","kew-2770719",FALSE,FALSE
"17","Maclura","pomifera",NA,"","kew-2501306",TRUE,"1.1","Accepted","Moraceae","Maclura","","pomifera","","(Raf.) C.K.Schneid.","kew-2501306",FALSE,FALSE
"18","Asimina","triloba",NA,"","kew-2655435",TRUE,"1.1","Accepted","Annonaceae","Asimina","","triloba","","(L.) Dunal","kew-2655435",FALSE,FALSE
"19","Calvaria","major",NA,"","kew-31994",TRUE,"1.1","Synonym","Sapotaceae","Sideroxylon","","majus","","(C.F.Gaertn.) Baehni","kew-191998",FALSE,FALSE
"20","Anacardium","microsepalum",NA,"","kew-2635909",TRUE,"1.1","Accepted","Anacardiaceae","Anacardium","","microsepalum","","Loes.","kew-2635909",FALSE,FALSE
"21","Annona","hypoglauca",NA,"","kew-2640895",TRUE,"1.1","Accepted","Annonaceae","Annona","","hypoglauca","","Mart.","kew-2640895",FALSE,FALSE
"22","Astrocaryum","jauary",NA,"","kew-17539",TRUE,"1.1","Accepted","Arecaceae","Astrocaryum","","jauari","","Mart.","kew-17539",TRUE,FALSE
"23","Byrsonima","amazonica",NA,"","kew-2688095",TRUE,"1.1","Synonym","Malpighiaceae","Byrsonima","","densa","","(Poir.) DC.","kew-2688202",FALSE,FALSE
"24","Byrsonima","sp.",NA,"","",FALSE,"1.1","","","Byrsonima","","sp.","","","",FALSE,FALSE
"25","Carapa","guinensis",NA,"","",FALSE,"1.1","","","Carapa","","guinensis","","","",FALSE,FALSE
"26","Cecropia","membranacea",NA,"","kew-2707072",TRUE,"1.1","Accepted","Urticaceae","Cecropia","","membranacea","","Trécul","kew-2707072",FALSE,FALSE
"27","Duguetia","marcgraviana",NA,"","kew-2779121",TRUE,"1.1","Accepted","Annonaceae","Duguetia","","marcgraviana","","Mart.","kew-2779121",FALSE,FALSE
"28","Ficus","sp.",NA,"","",FALSE,"1.1","","","Ficus","","sp.","","","",FALSE,FALSE
